y,x,iso3
1,1,GTM
1,2,BLZ
2,2,SLV
2,3,HND
2,5,HTI
2,6,PRI
3,3,NIC
4,4,CRI
5,5,PAN
6,4,ECU
6,5,COL
6,6,VEN
7,4,PER
7,5,BOL
7,6,BRA
